series,episode,viewers_millions,viewers_decimal
1,1,2,0.24
1,2,3,
1,3,3,
1,4,2,0.6
1,5,3,0.03
1,6,2,0.75
2,1,3,0.1
2,2,3,0.53
2,3,3,0.82
2,4,3,0.6
2,5,3,0.83
2,6,4,0.25
2,7,4,0.42
2,8,5,0.06
3,1,3,0.85
3,2,4,0.6
3,3,4,0.53
3,4,4,0.71
3,5,4,0.61
3,6,4,0.82
3,7,5,0.1
3,8,5,0.35
3,9,5,0.7
3,10,6,0.74
4,1,6,0.6
4,2,6,0.65
4,3,7,0.17
4,4,6,0.82
4,5,6,0.95
4,6,7,0.32
4,7,7,0.76
4,8,7,0.41
4,9,7,0.41
4,10,9,0.45
5,1,8,0.51
5,2,8,0.79
5,3,9,0.28
5,4,10,0.25
5,5,9,0.95
5,6,10,0.13
5,7,10,0.28
5,8,9,0.02
5,9,10,0.67
5,10,13,0.51
6,1,11,0.62
6,2,11,0.59
6,3,12,0.01
6,4,12,0.36
6,5,12,0.39
6,6,12,
6,7,12,0.35
6,8,11,0.09
6,9,12,0.65
6,10,15,0.05
7,1,13,0.58
7,2,13,0.45
7,3,13,0.01
7,4,13,0.29
7,5,13,0.12
7,6,13,0.13
7,7,13,0.45
7,8,13,0.26
7,9,13,0.44
7,10,15,0.9
8,1,9,0.46
8,2,9,0.23
8,3,8,0.68
8,4,8,0.55
8,5,8,0.61
8,6,8,0.61
8,7,9,0.01
8,8,8,0.95
8,9,9,0.03
8,10,10,0.04